year	round	asset_id	reference_id	latitude	longitude
1950	1	layout-silverstone-1	layout-silverstone-1	52.078611	-1.016944
1950	2	layout-monaco-1	layout-monaco-1	43.734722	7.420556
1950	3	layout-indianapolis-1	layout-indianapolis-1	39.798333	-86.232778
1950	4	layout-bremgarten-1	layout-bremgarten-1	46.95	7.410833
1950	5	layout-spa-francorchamps-1	layout-spa-francorchamps-1	50.437222	5.971389
1950	6	layout-reims-1	layout-reims-1	49.254075	3.930561
1950	7	layout-monza-1	layout-monza-1	45.620556	9.289444
1951	1	layout-bremgarten-1	layout-bremgarten-1	46.95	7.410833
1951	2	layout-indianapolis-1	layout-indianapolis-1	39.798333	-86.232778
1951	3	layout-spa-francorchamps-1	layout-spa-francorchamps-1	50.437222	5.971389
1951	4	layout-reims-1	layout-reims-1	49.254075	3.930561
1951	5	layout-silverstone-1	layout-silverstone-1	52.078611	-1.016944
1951	6	layout-nurburgring-1	layout-nurburgring-1	50.335556	6.9475
1951	7	layout-monza-1	layout-monza-1	45.620556	9.289444
1951	8	layout-pedralbes-1	layout-pedralbes-1	41.390278	2.116667
1952	1	layout-bremgarten-1	layout-bremgarten-1	46.95	7.410833
1952	2	layout-indianapolis-1	layout-indianapolis-1	39.798333	-86.232778
1952	3	layout-spa-francorchamps-1	layout-spa-francorchamps-1	50.437222	5.971389
1952	4	layout-rouen-1	layout-rouen-1	49.330639	1.004583
1952	5	layout-silverstone-1	layout-silverstone-1	52.078611	-1.016944
1952	6	layout-nurburgring-1	layout-nurburgring-1	50.335556	6.9475
1952	7	layout-zandvoort-1	layout-zandvoort-1	52.388819	4.540922
1952	8	layout-monza-1	layout-monza-1	45.620556	9.289444
1953	1	layout-buenos-aires-1	layout-buenos-aires-1	-34.694272	-58.459347
1953	2	layout-indianapolis-1	layout-indianapolis-1	39.798333	-86.232778
1953	3	layout-zandvoort-1	layout-zandvoort-1	52.388819	4.540922
1953	4	layout-spa-francorchamps-1	layout-spa-francorchamps-1	50.437222	5.971389
1953	5	layout-reims-2	layout-reims-2	49.254075	3.930561
1953	6	layout-silverstone-1	layout-silverstone-1	52.078611	-1.016944
1953	7	layout-nurburgring-1	layout-nurburgring-1	50.335556	6.9475
1953	8	layout-bremgarten-1	layout-bremgarten-1	46.95	7.410833
1953	9	layout-monza-1	layout-monza-1	45.620556	9.289444
1954	1	layout-buenos-aires-1	layout-buenos-aires-1	-34.694272	-58.459347
1954	2	layout-indianapolis-1	layout-indianapolis-1	39.798333	-86.232778
1954	3	layout-spa-francorchamps-1	layout-spa-francorchamps-1	50.437222	5.971389
1954	4	layout-reims-2	layout-reims-2	49.254075	3.930561
1954	5	layout-silverstone-1	layout-silverstone-1	52.078611	-1.016944
1954	6	layout-nurburgring-1	layout-nurburgring-1	50.335556	6.9475
1954	7	layout-bremgarten-1	layout-bremgarten-1	46.95	7.410833
1954	8	layout-monza-1	layout-monza-1	45.620556	9.289444
1954	9	layout-pedralbes-1	layout-pedralbes-1	41.390278	2.116667
1955	1	layout-buenos-aires-1	layout-buenos-aires-1	-34.694272	-58.459347
1955	2	layout-monaco-2	layout-monaco-2	43.734722	7.420556
1955	3	layout-indianapolis-1	layout-indianapolis-1	39.798333	-86.232778
1955	4	layout-spa-francorchamps-1	layout-spa-francorchamps-1	50.437222	5.971389
1955	5	layout-zandvoort-1	layout-zandvoort-1	52.388819	4.540922
1955	6	layout-aintree-1	layout-aintree-1	53.476944	-2.940556
1955	7	layout-monza-2	layout-monza-2	45.620556	9.289444
1956	1	layout-buenos-aires-1	layout-buenos-aires-1	-34.694272	-58.459347
1956	2	layout-monaco-2	layout-monaco-2	43.734722	7.420556
1956	3	layout-indianapolis-1	layout-indianapolis-1	39.798333	-86.232778
1956	4	layout-spa-francorchamps-1	layout-spa-francorchamps-1	50.437222	5.971389
1956	5	layout-reims-2	layout-reims-2	49.254075	3.930561
1956	6	layout-silverstone-1	layout-silverstone-1	52.078611	-1.016944
1956	7	layout-nurburgring-1	layout-nurburgring-1	50.335556	6.9475
1956	8	layout-monza-2	layout-monza-2	45.620556	9.289444
