provider_id	length	turns	direction	first_year	races	lap_record	record_driver	record_year	recent_winners	recent_poles	most_wins	most_poles
albert_park	5.278	14	CLOCKWISE	1996	29	1:19.813	Charles Leclerc	2024	2026 George Russell, 2025 Lando Norris, 2024 Carlos Sainz Jr., 2023 Max Verstappen, 2022 Charles Leclerc	2026 George Russell, 2025 Lando Norris, 2024 Max Verstappen, 2023 Max Verstappen, 2022 Charles Leclerc	Michael Schumacher (4)	Lewis Hamilton (8)
shanghai	5.451	16	CLOCKWISE	2004	19	1:32.238	Michael Schumacher	2004	2026 Kimi Antonelli, 2025 Oscar Piastri, 2024 Max Verstappen, 2019 Lewis Hamilton, 2018 Daniel Ricciardo	2026 Kimi Antonelli, 2025 Oscar Piastri, 2024 Max Verstappen, 2019 Valtteri Bottas, 2018 Sebastian Vettel	Lewis Hamilton (6)	Lewis Hamilton (6)
suzuka	5.807	18	CLOCKWISE	1987	36	1:30.965	Kimi Antonelli	2025	2026 Kimi Antonelli, 2025 Max Verstappen, 2024 Max Verstappen, 2023 Max Verstappen, 2022 Max Verstappen	2026 Kimi Antonelli, 2025 Max Verstappen, 2024 Max Verstappen, 2023 Max Verstappen, 2022 Max Verstappen	Michael Schumacher (6)	Michael Schumacher (8)
miami	5.412	19	ANTI_CLOCKWISE	2022	5	1:29.708	Max Verstappen	2023	2026 Kimi Antonelli, 2025 Oscar Piastri, 2024 Lando Norris, 2023 Max Verstappen, 2022 Max Verstappen	2026 Kimi Antonelli, 2025 Max Verstappen, 2024 Max Verstappen, 2023 Sergio Pérez, 2022 Charles Leclerc	Max Verstappen (2)	Max Verstappen (2)
villeneuve	4.361	14	CLOCKWISE	1978	45	1:13.078	Valtteri Bottas	2019	2026 Kimi Antonelli, 2025 George Russell, 2024 Max Verstappen, 2023 Max Verstappen, 2022 Max Verstappen	2026 George Russell, 2025 George Russell, 2024 George Russell, 2023 Max Verstappen, 2022 Max Verstappen	Michael Schumacher (7)	Michael Schumacher (6)
monaco	3.337	19	CLOCKWISE	1950	72	1:12.909	Lewis Hamilton	2021	2026 Kimi Antonelli, 2025 Lando Norris, 2024 Charles Leclerc, 2023 Max Verstappen, 2022 Sergio Pérez	2026 Kimi Antonelli, 2025 Lando Norris, 2024 Charles Leclerc, 2023 Max Verstappen, 2022 Charles Leclerc	Ayrton Senna (6)	Ayrton Senna (5)
catalunya	4.657	14	CLOCKWISE	1991	36	1:15.743	Oscar Piastri	2025	2026 Lewis Hamilton, 2025 Oscar Piastri, 2024 Max Verstappen, 2023 Max Verstappen, 2022 Max Verstappen	2026 George Russell, 2025 Oscar Piastri, 2024 Lando Norris, 2023 Max Verstappen, 2022 Charles Leclerc	Lewis Hamilton (7)	Michael Schumacher (7)
red_bull_ring	4.326	10	CLOCKWISE	1970	40	1:05.619	Carlos Sainz Jr.	2020	2026 George Russell, 2025 Lando Norris, 2024 George Russell, 2023 Max Verstappen, 2022 Charles Leclerc	2026 George Russell, 2025 Lando Norris, 2024 Max Verstappen, 2023 Max Verstappen, 2022 Max Verstappen	Max Verstappen (5)	Max Verstappen (5)
silverstone	5.891	18	CLOCKWISE	1950	61	1:27.097	Max Verstappen	2020	2026 Charles Leclerc, 2025 Lando Norris, 2024 Lewis Hamilton, 2023 Max Verstappen, 2022 Carlos Sainz Jr.	2026 Kimi Antonelli, 2025 Max Verstappen, 2024 George Russell, 2023 Max Verstappen, 2022 Carlos Sainz Jr.	Lewis Hamilton (9)	Lewis Hamilton (8)
spa	7.004	19	CLOCKWISE	1950	59	1:44.701	Sergio Pérez	2024	2025 Oscar Piastri, 2024 Lewis Hamilton, 2023 Max Verstappen, 2022 Max Verstappen, 2021 Max Verstappen	2025 Lando Norris, 2024 Max Verstappen, 2023 Max Verstappen, 2022 Max Verstappen, 2021 Max Verstappen	Michael Schumacher (6)	Lewis Hamilton (6)
