type	provider_id	source_id	name	country	starts	wins	podiums	poles	championships	series
D	antonelli	kimi-antonelli	Kimi Antonelli	italy	33	5	10	5	1	1:2:18,2:2:47,3:1:72,4:1:100,5:1:131,6:1:156,7:1:156,8:1:171,9:1:179
D	russell	george-russell	George Russell	united-kingdom	161	7	29	10	0	1:1:25,2:1:51,3:2:63,4:2:80,5:2:88,6:3:88,7:3:106,8:2:131,9:2:154
D	hamilton	lewis-hamilton	Lewis Hamilton	united-kingdom	389	106	207	105	7	1:4:12,2:4:33,3:4:41,4:5:51,5:4:72,6:2:90,7:2:115,8:3:125,9:3:147
D	leclerc	charles-leclerc	Charles Leclerc	monaco	182	9	53	24	0	1:3:15,2:3:34,3:3:49,4:3:59,5:3:75,6:4:75,7:4:75,8:6:79,9:4:108
D	norris	lando-norris	Lando Norris	united-kingdom	161	11	46	16	1	1:5:10,2:6:15,3:5:25,4:4:51,5:5:58,6:6:58,7:5:73,8:5:79,9:5:97
D	piastri	oscar-piastri	Oscar Piastri	australia	79	9	28	6	0	1:18:0,2:12:3,3:6:21,4:6:43,5:6:48,6:5:58,7:6:68,8:4:80,9:6:82
D	max_verstappen	max-verstappen	Max Verstappen	netherlands	242	71	129	52	4	1:6:8,2:8:8,3:9:12,4:7:26,5:7:43,6:7:43,7:7:55,8:7:73,9:7:76
D	hadjar	isack-hadjar	Isack Hadjar	france	33	0	1	0	0	1:17:0,2:11:4,3:12:4,4:13:4,5:12:14,6:9:26,7:9:34,8:8:42,9:8:52
D	gasly	pierre-gasly	Pierre Gasly	france	187	1	6	0	0	1:10:1,2:7:9,3:8:15,4:9:16,5:8:20,6:8:35,7:8:41,8:9:41,9:9:42
D	lawson	liam-lawson	Liam Lawson	new-zealand	44	0	0	0	0	1:13:0,2:9:8,3:10:10,4:10:10,5:10:16,6:10:24,7:10:28,8:10:30,9:10:39
D	arvid_lindblad	arvid-lindblad	Arvid Lindblad	united-kingdom	9	0	0	0	0	1:8:4,2:10:4,3:11:4,4:12:4,5:14:5,6:13:11,7:13:13,8:13:14,9:11:20
D	bearman	oliver-bearman	Oliver Bearman	united-kingdom	36	0	0	0	0	1:7:6,2:5:17,3:7:17,4:8:17,5:9:18,6:11:18,7:11:18,8:11:18,9:12:18
D	colapinto	franco-colapinto	Franco Colapinto	argentina	36	0	0	0	0	1:14:0,2:15:1,3:16:1,4:11:7,5:11:15,6:12:15,7:12:16,8:12:16,9:13:18
D	bortoleto	gabriel-bortoleto	Gabriel Bortoleto	brazil	33	0	0	0	0	1:9:2,2:14:2,3:13:2,4:15:2,5:15:2,6:17:2,7:17:2,8:17:2,9:14:6
D	sainz	carlos-sainz-jr	Carlos Sainz Jr.	spain	241	4	29	5	0	1:15:0,2:13:2,3:14:2,4:14:4,5:13:6,6:14:6,7:14:6,8:14:6,9:15:6
D	albon	alexander-albon	Alexander Albon	thailand	138	0	2	0	0	1:12:0,2:18:0,3:18:0,4:17:1,5:17:1,6:15:5,7:15:5,8:15:5,9:16:5
D	ocon	esteban-ocon	Esteban Ocon	france	189	1	4	0	0	1:11:0,2:16:0,3:15:1,4:16:1,5:16:1,6:16:3,7:16:3,8:16:3,9:17:3
D	alonso	fernando-alonso	Fernando Alonso	spain	437	32	106	23	2	1:20:0,2:21:0,3:21:0,4:21:0,5:22:0,6:18:1,7:18:1,8:18:1,9:18:1
